Sr No,Sellers ID,Seller Name,Seller Level,Seller class,Seller team member name,Seller team member number,Bill Date,Bill Time,Bill No.,Transaction Type,Invoice type,Buyer ID,Buyer Name,Buyer Level,Buyer Class,Buyer Location,Buyer Team member name,Buyer Team member number,Category,Product,SKU,Brand,Unit Cost,Qty,Discount,Value,
1,111,Darshita Electornics,Platinum,L1,Agnes Griffin,8926868497,11/10/2019,12:16:24,abc001de,Sales(80%),Created,B001,Posper Limited,B1,B,Mumbai,John Rice,9583450160,C1,P1C1,ENMBK611,Nokia,158511,17,8,2479112.04,
2,112,Jaliyan Sales,Platinum,L1,Ross Benninger,8973032438,10/07/2019,9:29:35,abc002de,Sales(80%),Attached,B002,Delt Services Ltd,B1,B,Delhi,Andrew Nunmaker,9561301960,C1,P2C1,EAMGD111,Acer,78855,10,13,686038.5,
3,113,Galaxy World,Silver,L1,Marilyn White,9259906003,02/19/2019,10:58:38,abc003de,Sales(80%),Attached,B003,Bridgwater College,B1,B,Chennai,Andrea Oddi,9515213631,C1,P3C1,ENMBL711,Nokia,222233,3,9,606696.09,
4,114,Megs_tronics,Silver,L1,Justin Hitt,9490391325,11/13/2019,14:32:10,abc004de,Sales(84%),Attached,B004,Devon Housing Limited,B1,B,Goa,Ira Barber,9543895215,C1,P4C1,EMMPK333,Mi,176735,3,10,477184.5,
5,115,Visions India,Silver,L1,Tawana Schweitzer,9224797722,02/07/2019,14:08:43,abc005de,Sales(86%),Attached,B005,Helena Partnerships Ltd,B1,B,Varanasi,Kenny Hansen,9525747749,C1,P5C1,EMSRD222,Mi,216229,25,8,4973267,
6,116,saakar enterprices,Platinum,L1,Kristian Claiborne,9250572467,02/11/2019,14:01:55,abc006de,Sales(88%),Attached,B006,The Riverside Group Ltd,B1,B,Mangalore,Michael Sandberg,9513216267,C2,P1C2,BJTGR434,Jaguar,129979,21,10,2456603.1, 
7,117,saandrons solutions,Gold,L1,Stephan Gonsoulin,9480438016,07/28/2019,15:44:00,abc007de,Sales(80%),Attached,B007,Stonewater Limited,B1,B,Udupi,Joseph Brooks,9524422678,C2,P2C2,BJFGR435,Jaguar,39321,25,3,953534.25,
8,118,ShopTwiz,Platinum,L1,Juan Adams,9440348957,09/07/2019,18:43:55,abc008de,Sales(80%),Attached,B008,The Community Housing Group,B1,B,Bangalore,Brian Savino,9562396561,C2,P3C2,BCTGD226,Cera,65430,21,10,1236627,
9,119,ShoppKing,Gold,L1,Billie Hall,8968844360,03/09/2019,9:45:42,abc009de,Sales(60)%,Attached,B009,Gibbs Concultancy,B1,B,Amritsar,David Becker,9581881880,C2,P4C2,BCTBL221,Cera,16972,8,7,126271.68,
10,120,ShopyStore,Silver,L1,David Sutton,9155745891,08/01/2019,9:12:14,abc010de,Sales(68)%,Attached,B010,Barnsley College,B1,B,Kolkata,Myra Berntson,9566679472,C2,P5C2,BJTGR565,Jaguar,17519,22,13,335313.66,
11,121,Showoff,Platinum,L1,Chad Turner,9207730053,10/15/2019,9:38:51,abc011de,Sales(60)%,Attached,B011,Together Housing Group,B1,B,Indore,Frank Solis,9503605753,C3,P1C3,SCPBL444,Cello,169106,3,12,446439.84,
12,122,Siddhi Enterprises,Silver,L1,Gary Martindale,8924878296,07/25/2019,15:50:51,abc012de,Sales(49)%,Created,B012,Newcastle Ltd,B1,B,Bhopal,Michael Young,9531219409,C3,P2C3,SCPRD445,Cello,256855,23,13,5139668.55,
13,123,Sky Collab,Silver,L2,Thomas Hamilton,8993207877,02/07/2019,13:04:07,abc013de,Sales(49)%,Created,B013,Midlands Ltd,B1,B,Prayagraj,Martha Lindberg,9512971967,C3,P3C3,SCPGR446,Cello,256489,9,3,2239148.97,
14,124,Skylint,Gold,L2,Richard Martinez,9241281568,11/05/2019,14:43:20,abc014de,Sales(66)%,Created,B014,North East Clinical,B1,B,Ranchi,Robert Young,9552471005,C3,P4C3,SPPBL476,Parker,48108,6,10,259783.2,
15,125,Synbus,Gold,L2,Lisette Gonzalez,9150085093,04/02/2019,12:13:44,abc015de,Sales(49)%,Created,B015,Grayshott Dental Clinic,B1,B,Lucknow,James Price,9501769554,C3,P5C3,SRPBK492,Parker,218161,7,2,1496584.46,
16,126,Spenca,Silver,L2,Robert Truitt,8943935294,03/22/2019,9:21:19,abc016de,Sales(49)%,Created,B016,Grimsby Institute Of Further & Higher Education,B1,B,Shimla,Samuel Tipton,9585552754,C4,P1C4,PPCGR588,Park Avenue,287454,4,1,1138317.84,
17,127,Spoilx,Gold,L2,Leticia Underwood,9168036888,02/21/2019,12:25:12,abc017de,Sales(60)%,Created,B017,Sai Housing Ltd,B1,B,Goa,Mary Kelly,9580013224,C4,P2C4,PPPBL589,Park Avenue,160758,15,9,2194346.7,
18,128,Walkplus,Silver,L2,William Murphy,9358451376,02/27/2019,12:04:26,abc018de,Sales(60)%,Created,B018,Warshal Housing Ltd,B1,B,Ernakulam,Madelaine Barnes,9519210108,C4,P3C4,PDDGR590,Denver,252343,8,7,1877431.92,
19,129,Icon Store,Gold,L2,Janice Machado,8975039416,01/26/2019,13:41:01,abc019de,Sales(60)%,Created,B019,Noonan Services Ltd,B1,B,Pune,Gregory Chu,9594001397,C4,P4C4,PDCRD592,Denver,128131,14,2,1757957.32,
20,130,SR Global,Silver,L2,Barbie Morales,8918113149,08/16/2019,11:52:49,abc020de,Sales(60)%,Created,B020,Vaglo Traders,B1,B,Nasik,Sergio Murray,9510936610,C4,P5C4,PWPBR593,Wild Stone,130949,2,2,256660.04,
21,131,Sunrise Digital,Gold,L2,Karina Payne,9153517949,12/11/2019,18:39:14,abc021de,Sales(60)%,Attached,B021,Watmos Community Home,B1,A,Nagpur,Sheena Kolb,9539531293,C5,P1C5,ZFPSR666,Fastrack,143752,17,7,2272719.12,
